variable_name,label,pair_id,A_region,B_region,A_motivation,B_motivation,A_education,B_education,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language,A_politics,B_politics,A_appearance,B_appearance
CJ46,R3M1Ed1Em2G2A3O3L1P1Ap1 / R3M1Ed1Em2G2A4O4L1P4Ap1,46,"Восточная Европа (Беларусь, Молдова, Украина)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,23,45,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ47,R2M4Ed1Em2G2A6O1L1P3Ap2 / R3M1Ed1Em1G2A4O1L1P4Ap2,47,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)",Поиск работы,Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,47,45,Врач,Врач,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ48,R5M1Ed3Em1G1A8O3L1P1Ap1 / R7M1Ed3Em1G2A1O3L1P1Ap1,48,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Мужчина,62,21,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ49,R3M3Ed1Em1G1A6O1L1P4Ap1 / R3M3Ed1Em2G2A1O2L1P4Ap1,49,"Восточная Европа (Беларусь, Молдова, Украина)","Восточная Европа (Беларусь, Молдова, Украина)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Мужчина,47,21,Врач,Программист,Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ50,R1M1Ed3Em2G1A6O4L1P3Ap1 / R7M1Ed3Em1G1A2O2L2P2Ap1,50,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Женщина,Женщина,47,22,Сфера услуг (общепит),Программист,Говорит плохо,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ51,R2M1Ed3Em1G1A4O2L2P3Ap2 / R3M3Ed2Em2G2A4O2L1P4Ap2,51,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от вооружённого конфликта,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее (школа),Государственная организация,Небольшая частная компания,Женщина,Мужчина,45,45,Программист,Программист,Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ52,R2M4Ed2Em1G1A1O4L2P2Ap2 / R5M4Ed3Em1G1A1O4L2P2Ap2,52,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Поиск работы,Поиск работы,Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Женщина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ53,R5M4Ed2Em1G2A5O3L1P3Ap2 / R7M4Ed3Em1G2A5O4L2P4Ap1,53,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Поиск работы,Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,46,46,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ54,R2M2Ed2Em2G2A5O2L2P1Ap2 / R3M2Ed3Em1G2A1O2L2P4Ap2,54,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,46,21,Программист,Программист,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ55,R1M3Ed3Em1G1A9O3L1P1Ap1 / R7M2Ed3Em1G1A6O4L1P1Ap1,55,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Женщина,63,47,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ56,R1M3Ed3Em1G1A8O3L1P1Ap2 / R6M3Ed3Em1G1A5O3L2P4Ap2,56,"Африка (Нигерия, ЮАР, Кения)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Женщина,62,46,Строитель,Строитель,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ57,R7M3Ed3Em1G2A7O3L1P1Ap2 / R7M2Ed3Em1G1A3O3L2P1Ap2,57,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Женщина,61,23,Строитель,Строитель,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ58,R2M3Ed2Em1G1A1O4L2P1Ap2 / R6M1Ed2Em1G1A4O4L1P1Ap2,58,"Восточная Азия (Китай, Южная Корея, Монголия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от вооружённого конфликта,Среднее (школа),Среднее (школа),Государственная организация,Государственная организация,Женщина,Женщина,21,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ59,R2M2Ed1Em1G1A9O3L2P2Ap1 / R5M2Ed1Em1G1A8O4L1P2Ap1,59,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Бегство от политических преследований,Бегство от политических преследований,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,63,62,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ60,R2M4Ed1Em1G1A5O4L1P3Ap2 / R2M2Ed2Em1G2A1O4L1P4Ap2,60,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Поиск работы,Бегство от политических преследований,Высшее (университет),Среднее (школа),Государственная организация,Государственная организация,Женщина,Мужчина,46,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ61,R2M1Ed1Em1G1A9O2L2P3Ap1 / R3M1Ed1Em2G1A9O1L1P1Ap1,61,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Женщина,63,63,Программист,Врач,Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ62,R2M4Ed3Em1G1A4O3L2P4Ap1 / R7M2Ed3Em1G1A1O3L1P4Ap2,62,"Восточная Азия (Китай, Южная Корея, Монголия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Женщина,45,21,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ63,R2M2Ed3Em1G2A4O3L1P3Ap1 / R1M1Ed3Em1G2A4O2L2P3Ap2,63,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Бегство от политических преследований,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,45,45,Строитель,Программист,Говорит плохо,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ64,R4M4Ed1Em1G1A7O1L2P2Ap2 / R4M4Ed1Em2G1A4O3L2P4Ap1,64,"Западная Европа (Германия, Франция, Италия)","Западная Европа (Германия, Франция, Италия)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Женщина,61,45,Врач,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ65,R3M4Ed1Em2G1A2O2L1P4Ap2 / R3M2Ed1Em2G2A3O2L2P4Ap2,65,"Восточная Европа (Беларусь, Молдова, Украина)","Восточная Европа (Беларусь, Молдова, Украина)",Поиск работы,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,22,23,Программист,Программист,Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ66,R5M3Ed2Em2G1A6O2L1P2Ap2 / R5M1Ed2Em2G1A6O2L2P3Ap2,66,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от вооружённого конфликта,Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,47,47,Программист,Программист,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ67,R1M4Ed3Em2G1A5O4L1P2Ap2 / R1M1Ed3Em2G2A1O4L2P1Ap2,67,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,46,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ68,R6M4Ed1Em1G1A9O3L2P2Ap1 / R6M3Ed1Em2G2A3O1L1P1Ap1,68,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Мужчина,63,23,Строитель,Врач,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ69,R7M4Ed3Em1G1A8O2L2P4Ap1 / R7M1Ed2Em2G2A1O3L2P2Ap2,69,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее (школа),Государственная организация,Небольшая частная компания,Женщина,Мужчина,62,21,Программист,Строитель,Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ70,R7M2Ed2Em2G1A3O2L1P2Ap2 / R3M1Ed1Em2G1A7O2L1P2Ap1,70,"Южный Кавказ (Армения, Азербайджан, Грузия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от вооружённого конфликта,Среднее (школа),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,23,61,Программист,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ71,R1M4Ed2Em1G1A6O2L2P3Ap1 / R7M3Ed1Em1G1A2O4L1P3Ap2,71,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,47,22,Программист,Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ72,R1M2Ed2Em2G2A7O2L2P1Ap2 / R6M3Ed2Em2G2A1O4L2P2Ap2,72,"Африка (Нигерия, ЮАР, Кения)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Бегство от политических преследований,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,61,21,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ73,R2M1Ed2Em1G1A7O4L2P2Ap2 / R2M2Ed2Em2G1A5O4L2P4Ap2,73,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Женщина,Женщина,61,46,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ74,R2M4Ed3Em1G1A2O2L2P4Ap2 / R1M3Ed3Em1G2A2O3L2P4Ap2,74,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Женщина,Мужчина,22,22,Программист,Строитель,Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ75,R6M3Ed1Em2G1A4O2L2P1Ap2 / R6M2Ed1Em1G1A4O4L1P1Ap1,75,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Женщина,45,45,Программист,Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ76,R3M4Ed2Em1G2A6O2L1P2Ap1 / R3M1Ed3Em1G2A1O3L1P2Ap2,76,"Восточная Европа (Беларусь, Молдова, Украина)","Восточная Европа (Беларусь, Молдова, Украина)",Поиск работы,Бегство от вооружённого конфликта,Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,47,21,Программист,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ77,R2M1Ed2Em1G2A6O4L2P1Ap2 / R4M2Ed2Em1G1A6O4L2P4Ap2,77,"Восточная Азия (Китай, Южная Корея, Монголия)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее (школа),Государственная организация,Государственная организация,Мужчина,Женщина,47,47,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ78,R2M4Ed2Em2G1A3O4L2P3Ap2 / R2M4Ed3Em2G2A4O4L2P3Ap1,78,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Поиск работы,Поиск работы,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,23,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ79,R5M2Ed1Em1G1A7O1L1P1Ap2 / R3M2Ed1Em1G2A9O2L1P2Ap1,79,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Мужчина,61,63,Врач,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ80,R5M1Ed1Em1G2A1O3L1P3Ap2 / R4M4Ed1Em1G1A4O3L1P4Ap2,80,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Мужчина,Женщина,21,45,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ81,R6M4Ed1Em1G2A5O2L1P2Ap1 / R4M3Ed3Em1G2A5O2L1P1Ap2,81,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Западная Европа (Германия, Франция, Италия)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,46,46,Программист,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ82,R7M4Ed3Em2G2A5O2L2P2Ap1 / R7M4Ed3Em2G2A8O4L2P2Ap1,82,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Поиск работы,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,46,62,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ83,R5M2Ed1Em2G2A5O1L2P2Ap1 / R7M4Ed1Em2G1A6O1L1P1Ap1,83,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,46,47,Врач,Врач,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ84,R2M4Ed2Em1G2A6O2L1P2Ap1 / R1M3Ed3Em1G2A1O2L1P3Ap1,84,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,47,21,Программист,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ85,R1M3Ed1Em1G2A9O2L1P2Ap2 / R1M2Ed2Em2G1A9O2L1P2Ap2,85,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Высшее (университет),Среднее (школа),Государственная организация,Небольшая частная компания,Мужчина,Женщина,63,63,Программист,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ86,R2M1Ed2Em1G1A7O4L2P2Ap1 / R2M1Ed1Em1G1A8O3L2P2Ap1,86,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее (школа),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,61,62,Сфера услуг (общепит),Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
