variable_name,label,pair_id,A_country,B_country,A_motivation,B_motivation,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language
CJ107,C4M2E1G1A3O4L1 / C7M2E2G2A3O4L1,107,Пакистан,Украина,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Женщина,Мужчина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ108,C3M2E1G1A3O4L1 / C2M2E1G1A3O3L1,108,Индия,Венгрия,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Женщина,Женщина,62,62,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит плохо
CJ109,C2M2E1G1A1O4L1 / C1M3E1G1A2O4L1,109,Венгрия,Беларусь,Поиск работы,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Женщина,21,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ110,C3M2E2G2A3O3L1 / C3M3E2G1A3O3L2,110,Индия,Индия,Поиск работы,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,62,62,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ111,C5M2E2G1A1O4L2 / C5M1E2G2A2O4L2,111,Румыния,Румыния,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,21,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ112,C1M1E1G1A3O3L1 / C1M3E2G2A3O3L2,112,Беларусь,Беларусь,Воссоединение с супругом(ой),Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Мужчина,62,62,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ113,C5M2E1G1A3O3L2 / C1M3E2G1A3O3L2,113,Румыния,Беларусь,Поиск работы,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ114,C2M2E2G1A1O2L2 / C1M1E1G1A1O2L1,114,Венгрия,Беларусь,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Женщина,Женщина,21,21,Программист,Программист,Говорит свободно,Говорит плохо
CJ115,C6M2E1G1A2O3L2 / C7M2E1G1A2O3L1,115,Узбекистан,Украина,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Женщина,Женщина,48,48,Строитель,Строитель,Говорит свободно,Говорит плохо
CJ116,C4M4E2G2A1O3L2 / C7M4E2G2A1O2L2,116,Пакистан,Украина,Учёба,Учёба,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,21,Строитель,Программист,Говорит свободно,Говорит свободно
CJ117,C3M3E2G2A2O3L2 / C2M3E2G2A2O4L1,117,Индия,Венгрия,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,48,48,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ118,C3M3E1G1A2O4L1 / C4M3E2G1A1O2L2,118,Индия,Пакистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Женщина,48,21,Сфера услуг (общепит),Программист,Говорит плохо,Говорит свободно
CJ119,C4M2E2G1A1O2L1 / C1M2E2G1A1O2L2,119,Пакистан,Беларусь,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,21,21,Программист,Программист,Говорит плохо,Говорит свободно
CJ120,C3M1E1G2A3O1L2 / C3M1E2G2A3O3L2,120,Индия,Индия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,62,Врач,Строитель,Говорит свободно,Говорит свободно
CJ121,C6M1E2G1A2O4L2 / C1M2E2G1A2O2L2,121,Узбекистан,Беларусь,Воссоединение с супругом(ой),Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Сфера услуг (общепит),Программист,Говорит свободно,Говорит свободно
CJ122,C4M1E1G1A1O3L1 / C2M1E1G2A1O3L2,122,Пакистан,Венгрия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Мужчина,21,21,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ123,C3M1E2G1A2O3L1 / C3M1E2G1A3O3L2,123,Индия,Индия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,62,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ124,C2M3E1G2A2O3L1 / C1M3E1G1A2O4L1,124,Венгрия,Беларусь,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,48,48,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ125,C4M1E2G1A2O2L2 / C4M3E2G1A2O3L2,125,Пакистан,Пакистан,Воссоединение с супругом(ой),Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Программист,Строитель,Говорит свободно,Говорит свободно
CJ126,C5M1E2G1A3O2L2 / C7M1E2G2A3O2L2,126,Румыния,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,62,62,Программист,Программист,Говорит свободно,Говорит свободно
CJ127,C1M2E2G2A3O2L1 / C1M2E2G1A1O2L2,127,Беларусь,Беларусь,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,62,21,Программист,Программист,Говорит плохо,Говорит свободно
CJ128,C4M1E2G1A3O1L1 / C5M1E2G1A3O4L1,128,Пакистан,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,62,62,Врач,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ129,C6M3E1G2A1O2L2 / C2M3E1G2A1O4L1,129,Узбекистан,Венгрия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Мужчина,21,21,Программист,Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ130,C4M2E1G2A2O2L1 / C5M2E1G1A2O2L1,130,Пакистан,Румыния,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Мужчина,Женщина,48,48,Программист,Программист,Говорит плохо,Говорит плохо
CJ131,C7M2E1G1A2O4L2 / C7M3E1G1A1O4L1,131,Украина,Украина,Поиск работы,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Женщина,48,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ132,C2M3E1G1A2O1L1 / C1M3E1G2A2O2L1,132,Венгрия,Беларусь,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Мужчина,48,48,Врач,Программист,Говорит плохо,Говорит плохо
CJ133,C6M2E2G2A2O2L2 / C6M3E1G2A2O1L2,133,Узбекистан,Узбекистан,Поиск работы,Политическая нестабильность,Небольшая частная компания,Государственная организация,Мужчина,Мужчина,48,48,Программист,Врач,Говорит свободно,Говорит свободно
CJ134,C3M2E1G2A1O3L1 / C3M2E2G2A2O4L1,134,Индия,Индия,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,48,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ135,C7M1E2G1A1O2L1 / C7M1E2G1A3O4L1,135,Украина,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,21,62,Программист,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ136,C3M1E1G1A2O4L1 / C7M1E1G1A2O4L2,136,Индия,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Женщина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ137,C6M1E2G1A3O4L2 / C5M2E2G1A3O4L1,137,Узбекистан,Румыния,Воссоединение с супругом(ой),Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ138,C2M2E2G2A3O1L1 / C1M2E2G2A3O1L2,138,Венгрия,Беларусь,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,62,62,Врач,Врач,Говорит плохо,Говорит свободно
CJ139,C6M4E1G2A1O4L1 / C7M4E1G2A1O2L2,139,Узбекистан,Украина,Учёба,Учёба,Государственная организация,Государственная организация,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Программист,Говорит плохо,Говорит свободно
CJ140,C6M3E1G2A3O1L2 / C3M3E1G2A3O2L1,140,Узбекистан,Индия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Мужчина,62,62,Врач,Программист,Говорит свободно,Говорит плохо
CJ141,C7M1E1G2A3O2L2 / C7M1E2G2A3O3L2,141,Украина,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,62,Программист,Строитель,Говорит свободно,Говорит свободно
CJ142,C6M2E1G1A3O3L1 / C7M2E2G1A1O4L2,142,Узбекистан,Украина,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Женщина,Женщина,62,21,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ143,C3M2E1G2A3O2L1 / C4M1E1G1A3O2L1,143,Индия,Пакистан,Поиск работы,Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Женщина,62,62,Программист,Программист,Говорит плохо,Говорит плохо
CJ144,C4M3E1G2A2O3L2 / C4M3E1G2A3O3L1,144,Пакистан,Пакистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Мужчина,48,62,Строитель,Строитель,Говорит свободно,Говорит плохо
CJ145,C6M1E2G2A2O1L2 / C7M1E1G2A2O1L2,145,Узбекистан,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,48,48,Врач,Врач,Говорит свободно,Говорит свободно
CJ146,C6M3E1G2A3O4L2 / C6M3E2G1A3O2L1,146,Узбекистан,Узбекистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Женщина,62,62,Сфера услуг (общепит),Программист,Говорит свободно,Говорит плохо
CJ147,C6M1E1G2A2O1L2 / C4M1E1G1A2O1L1,147,Узбекистан,Пакистан,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Женщина,48,48,Врач,Врач,Говорит свободно,Говорит плохо
CJ148,C5M2E1G1A2O4L1 / C5M2E1G1A3O2L1,148,Румыния,Румыния,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Женщина,Женщина,48,62,Сфера услуг (общепит),Программист,Говорит плохо,Говорит плохо
CJ149,C1M1E1G1A3O3L2 / C7M1E1G1A3O4L1,149,Беларусь,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Женщина,62,62,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ150,C4M1E1G1A3O4L2 / C1M1E2G1A3O4L2,150,Пакистан,Беларусь,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
